Object,Object ID,side,Affordance ,Affordance ID,Class ID,o2h,Trans,Orientation,Topology,p_obj,q_obj,lower,upper
knife,117,1,Handle-grasp,1,2,"(+x, -z)(+y, +y)(+z, +x)","[-0.05, -0.13, 0.]","[0.568989, -0.536968, -0.371749, -0.49972]",poPmAb25,"[0.80, -0.50, 0.15]","[0.05604588624907389, 0.7193334937549041, -0.05396438994635156, 0.6902941604958263]",0,0.2
dispenser,3632,1,Wrap-grasp,5,4,"(+x,-y)(+y,+z)(+z,-x)","[0.055, 0.001, -0.03]","[-0.452777, -0.328308, -0.385002, 0.734153]",poPmAb25,"[0.78, -0.455, 0.207]","[-0.3040111875475427, 0.6244095652090206, 0.6469079552729914, -0.3149602992853735]",0,0.2
dispenser,3632,1,Twist,6,1,"(+x,-y)(+y, +z)(+z,-x)","[0.05, 0.057008, -0.03]","[-0.40734, -0.3861, -0.36395, 0.743331]",poPmAb25,"[0.78, -0.455, 0.207]","[-0.3040111875475427, 0.6244095652090206, 0.6469079552729914, -0.3149602992853735]",0,0.2
pot,4121,1,Wrap-grasp,5,7,"(+x, -x)(+y, +z)(+z, +y)","[0.02, -0.105688, -0.06]","[-0.712049, 0.033007,  0.0101569, 0.70128]",poPmAb25,"[0.78, -0.455, 0.321]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
pot,4139,1,Wrap-grasp,5,3,"(+x, -x)(+y, +z)(+z, +y)","[0.04, -0.08, -0.05]","[-0.761736, -0.0226699, 0.0316113, 0.646719]",poPmAb25,"[0.80, -0.455, 0.291]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
bag,8408,0,Lift,4,1,"(+x, -y)(+y, +z)(+z, -x)","[0.00327973, 0.235, -0.0261824]","[-0.164081, -0.605093, 0.179708, 0.758053]",poPmAb25,"[0.78, -0.455, 0.223]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
mug,8661,0,Wrap-grasp,5,2,"(+x, -x)(+y, +z)(+z, +y)","[-0.00675103, 0.0174088, -0.07]","[-0.71712, 0.158294, 0.0215883, 0.678393]",poPmAb25,"[0.80, -0.45, 0.2]","[0.16973510434523012, 0.6734241617520857, 0.697685491060045, 0.17585462258842804]",0,0.2
mug,8756,0,Handle-grasp,1,1,"(+x, +x)(+y, +z)(+z, -y)","[0.0035, 0.02, 0.13]","[0.0584339, 0.660414, 0.748559, -0.0098762]",poPmAb25,"[0.78, -0.455, 0.2]","[0.689680477401554, -0.08155333451030748, -0.08449590670338754, 0.7145280501644333]",0,0.2
mug,8758,0,Wrap-grasp,5,2,"(+x, -x)(+y, +z)(+z, +y)","[0.00357946, 0.00493475, -0.0709505]","[-0.688089, 0.0899276, -0.0112486, 0.719944]",poPmAb25,"[0.78, -0.455, 0.175]","[0.16973510434523012, 0.6734241617520857, 0.697685491060045, 0.17585462258842804]",0,0.2
mug,8758,2,Handle-grasp,1,4,"(+x, -y)(+y, +z)(+z, -x)","[0.0278054, 0.0166327, 0.0703893]","[0.418879, 0.505776, 0.569248, -0.494659]",poPmAb25,"[0.78, -0.455, 0.175]","[0.5417081307191465, -0.4345830281906478, -0.4502437658245363, 0.5612222768721453]",0,0.2
bottle,3422,0,Twist,6,1,"(+x, -x)(+y, +z)(+z, +y)","[-0.03, 0.175148, -0.0025]","[0.0890957, 0.128197, 0.252901, 0.954813]",pPdAb23,"[0.78, -0.455, 0.207]","[-0.0021493528746784063, 0.694482172241164, 0.7195032686169555, -0.002222424561526035]",0,0.2
handle_bottle,3381,1,Wrap-grasp,5,12,"(+x,-y)(+y,+z)(+z,-x)","[0.0769115, 0.0611839, -0.00826407]","[-0.572331, -0.397563, -0.409167, 0.589036]",pPdAb25,"[0.78, -0.455, 0.277]","[-0.44904161458292563, 0.5297846125090316, 0.5488747285162446, -0.4652165357310867]",0,0.2
handle_bottle,3425,2,Handle-grasp,1,3,"(+x, +y)(+y, +z)(+z, -x)","[-0.01, 0.0951631, -0.06]","[-0.246065, 0.433835, 0.525461, 0.689296]",inSiAd2,"[0.78, -0.455, 0.212]","[0.39036019398652705, 0.5743944865938272, 0.5950865479348524, 0.40442785906561285]",0,0.2
