Object,Object ID,side,Affordance ,Affordance ID,Class ID,o2h,Trans,Orientation,Topology,p_obj,q_obj,lower,upper
dispenser,3632,0,press,3,7,"(+x,-x)(+y,+z)(+z,+y)","[0.04892170864676, 0.14, -0.0022498297]","[0, 0, 0, 1]",platform,"[0.78, -0.455, 0.208]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
dispenser,3686,0,press,3,7,"(+x, -x)(+y, +z)(+z, +y)","[0.0495388, 0.1501999, -0.0]","[0, 0, 0, 1]",platform,"[0.78, -0.455, 0.203]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
dispenser,103410,0,press,3,6,"(+x, -x)(+y, +z)(+z, -y)","[0.0416231, 0.136234, -0.027469]","[0.0135182, 0.110816, -0.0534604, 0.99231]",platform,"[0.78, -0.455, 0.207]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
knife,115,0,Handle-grasp,1,2,"(+x, +x)(+y, +z)(+z, -y)","[-0.000204797, -0.0185244, 0.0481876]","[-0.257982, 0.684198, 0.680073, .0530869]",poPmAb25,"[0.78, -0.455, 0.245]","[0.6758314806488387, 0.1598809464651245, 0.16563695266234274, 0.7001816140360636]",0,0.2
knife,117,1,Handle-grasp,1,2,"(+x, -z)(+y, +y)(+z, +x)","[-0.0251461, -0.136184, -0.000980332]","[0.568989, -0.536968, -0.371749, -0.49972]",poPmAb25,"[0.78, -0.50, 0.124]","[0.05604588624907389, 0.7193334937549041, -0.05396438994635156, 0.6902941604958263]",0,0.2
knife,118,1,Handle-grasp,1,1,"(+x, +x)(+y, +z)(+z, -y)","[0.00937684, -0.00689652, 0.0381316]","[0.106279, 0.74601, 0.64626, -0.120501]",poPmAb25,"[0.78, -0.455, 0.217]","[0.6930979233174631, -0.05010734779515503, -0.05177363800931136, 0.7172335831493365]",0,0.2
faucet,988,0,Lever,9,1,"(+x, -x)(+y, +z)(+z, +y)","[-0.0177361, 0.116113, 0.0553902]","[0, 0, 0, 1]",poPmAb25,"[0.77, -0.45, 0.22 ]","[-0.2072868702925121, 0.6628289829834849, 0.6867109551892087, -0.21475091791314677]",0,0.2
handle_bottle,3381,0,Handle-grasp,1,4,"(+x,-y)(+y,+z)(+z,-x)","[0.0379279, 0.0686104, 0.1106966]","[-0.260959, -0.556685, -0.605796, 0.504989]",poPmAb25,"[0.78, -0.455, 0.277]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
bottle,3418,0,Wrap-grasp,5,9,"(+x,-x)(+y,+z)(+z,+y)","[0.02, -0.0008085, -0.05]","[-0.729544, -9.80207e-08, 9.80207e-08, 0.683934]",poPmAb25,"[0.78, -0.455, 0.204]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
bottle,3422,0,Wrap-grasp,5,1,"(+x,+y)(+y,+z)(+z,+x)","[-0.0552314, 0.042203, -0.0319936]","[-0.441842, 0.473056, 0.210813, 0.732497]",poPmAb25,"[0.78, -0.455, 0.207]","[0.4457537830750951, 0.5325539147849976, 0.5517381789384176, 0.461816927605662]",0,0.2
handle_bottle,3425,0,Wrap-grasp,5,5,"(+x,-x)(+y,+z)(+z,+y)","[0.0435131, 0.0175286, -0.068]","[-0.589008, -0.140753, -0.266057, 0.749981]",poPmAb25,"[0.78, -0.455, 0.212]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
bottle,3528,0,Wrap-grasp,5,1,"(+x,+y)(+y,+z)(+z, -y)","[-0.05, 0.01, 0.0299128]","[-0.407704, 0.706773, 0.517748, 0.257269]",poPmAb25,"[0.78, -0.455, 0.222]","[0.601340510200827, 0.34741862078765195, 0.35993177800905934, 0.6230080319712193]",0,0.2
dispenser,3632,1,Wrap-grasp,5,4,"(+x,-y)(+y,+z)(+z,+x)","[0.055, -0.0, -0.02]","[-0.452777, -0.328308, -0.385002, 0.734153]",poPmAb25,"[0.78, -0.455, 0.207]","[-0.3040111875475427, 0.6244095652090206, 0.6469079552729914, -0.3149602992853735]",0,0.2
dispenser,3632,1,Twist,6,1,"(+x,-y)(+y, +z)(+z,-x)","[0.05, 0.057008, -0.03]","[-0.40734, -0.3861, -0.36395, 0.743331]",poPmAb25,"[0.78, -0.455, 0.207]","[-0.3040111875475427, 0.6244095652090206, 0.6469079552729914, -0.3149602992853735]",0,0.2
dispenser,3686,0,Wrap-grasp,5,2,"(+x,-x)(+y,+z)(+z,+y)","[0.02, 0.01, -0.061009]","[-0.682021, -9.16356e-08, 9.16356e-08, 0.731332]",poPmAb25,"[0.78, -0.455, 0.203]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
handle_bottle,3695,0,Handle-grasp,1,5,"(+x,-y)(+y,+z )(+z, -x)","[0.05, 0.066008, 0.08]","[-0.497782, -0.43355, -0.50085, 0.559818]",poPmAb25,"[0.78, -0.455, 0.214]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
pot,4121,1,Wrap-grasp,5,7,"(+x, -x)(+y, +z)(+z, +y)","[0, -0.105688, -0.06]","[-0.712049, 0.033007,  0.0101569, 0.70128]",poPmAb25,"[0.78, -0.455, 0.321]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
pot,4139,1,Wrap-grasp,5,3,"(+x, -x)(+y, +z)(+z, +y)","[0.02, -0.08, -0.05]","[-0.761736, -0.0226699, 0.0316113, 0.646719]",poPmAb25,"[0.765, -0.455, 0.291]","[-0.07147114311810371, 0.6907980768502306, 0.715686876967808, -0.07404179129032581]",0,0.2
jar,4403,0,Wrap-grasp,5,2,"(+x, -x)(+y, +z)(+z, +y)","[-0.02, -0.00581182, -0.05]","[-0.70144, 0.225944, 0.0850949, 0.670589]",poPmAb25,"[0.78, -0.455, 0.21]","[0.16980963543805255, 0.673408835800604, 0.6976802759352465, 0.17586204863184463]",0,0.2
jar,5955,2,Wrap-grasp,5,5,"(+x, -y)(+y, +z)(+z, -x)","[0.05, -0.0102846, -0.00]","[-0.503889, -0.416008, -0.478943, 0.586214]",poPmAb25,"[0.78, -0.455, 0.254]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
bag,8383,0,Lift,4,1,"(+x, -y)(+y, +z)(+z, -x)","[-0.0165945, 0.21, -0.0479258]","[-0.183354, -0.512649, 0.288509, 0.787613]",poPmAb25,"[0.78, -0.455, 0.242]","[0.49968848484687345, -0.48230853754626973, -0.49968848484687345, 0.5176884302675216]",0,0.2
bag,8408,0,Lift,4,1,"(+x, -y)(+y, +z)(+z, -x)","[0.00327973, 0.235, -0.0261824]","[-0.164081, -0.605093, 0.179708, 0.758053]",poPmAb25,"[0.78, -0.455, 0.223]","[0.49969, -0.48231, -0.49969, 0.51769]",0,0.2
mug,8661,0,Wrap-grasp,5,2,"(+x, -x)(+y, +z)(+z, +y)","[-0.00675103, 0.0174088, -0.07]","[-0.71712, 0.158294, 0.0215883, 0.678393]",poPmAb25,"[0.78, -0.455, 0.178]","[0.16973510434523012, 0.6734241617520857, 0.697685491060045, 0.17585462258842804]",0,0.2
mug,8661,0,Handle-grasp,1,5,"(+x, -x)(+y, +z)(+z, +y)","[0.0200788, 0.0100461, 0.102332]","[0.198491, 0.632707, 0.673938, -0.325716]",poPmAb25,"[0.78, -0.455, 0.178]","[0.634776267630865, -0.2817253934795619, -0.29187949990541634, 0.6576444710148323]",0,0.2
mug,8756,0,Handle-grasp,1,1,"(+x, +x)(+y, +z)(+z, -y)","[0.005, 0.0327809, 0.13]","[0.0584339, 0.660414, 0.748559, -0.0098762]",poPmAb25,"[0.78, -0.455, 0.163]","[0.689680477401554, -0.08155333451030748, -0.08449590670338754, 0.7145280501644333]",0,0.2
mug,8758,0,Wrap-grasp,5,2,"(+x, -x)(+y, +z)(+z, +y)","[0.00357946, 0.00493475, -0.0709505]","[-0.688089, 0.0899276, -0.0112486, 0.719944]",poPmAb25,"[0.78, -0.455, 0.175]","[0.16973510434523012, 0.6734241617520857, 0.697685491060045, 0.17585462258842804]",0,0.2
mug,8758,2,Handle-grasp,1,4,"(+x, -y)(+y, +z)(+z, -x)","[0.0278054, 0.0166327, 0.0703893]","[0.418879, 0.505776, 0.569248, -0.494659]",poPmAb25,"[0.78, -0.455, 0.175]","[0.5417081307191465, -0.4345830281906478, -0.4502437658245363, 0.5612222768721453]",0,0.2
